subject_id,class,rank,feature,coefficient,abs_coefficient
211-000536,SAD,15,AlphaAsym_FC2-FC1,-0.046537842601537704,0.046537842601537704
211-000537,JOY,1,AlphaAsym_CP4-CP3,0.4742109477519989,0.4742109477519989
211-000537,JOY,2,CP2_Beta,0.41234907507896423,0.41234907507896423
211-000537,JOY,3,Pz_Beta,0.39043352007865906,0.39043352007865906
211-000537,JOY,4,CP4_Beta,0.3453468084335327,0.3453468084335327
211-000537,JOY,5,CP2_Alpha,0.21077625453472137,0.21077625453472137
211-000537,JOY,6,PO8_Beta,0.20029465854167938,0.20029465854167938
211-000537,JOY,7,AlphaAsym_CP2-CP1,0.188710018992424,0.188710018992424
211-000537,JOY,8,AF4_Beta,-0.14295433461666107,0.14295433461666107
211-000537,JOY,9,Oz_Beta,0.13713513314723969,0.13713513314723969
211-000537,JOY,10,C6_Beta,-0.13363587856292725,0.13363587856292725
211-000537,JOY,11,Pz_Alpha,0.10629221796989441,0.10629221796989441
211-000537,JOY,12,AF8_Beta,-0.1000308096408844,0.1000308096408844
211-000537,JOY,13,T8_Beta,0.09916041046380997,0.09916041046380997
211-000537,JOY,14,AF3_Beta,-0.08570344746112823,0.08570344746112823
211-000537,JOY,15,O1_Beta,-0.06604557484388351,0.06604557484388351
211-000537,NEUTRO,1,CP2_Beta,-0.8152455687522888,0.8152455687522888
211-000537,NEUTRO,2,CP2_Alpha,-0.4704160988330841,0.4704160988330841
211-000537,NEUTRO,3,FC3_Alpha,0.4315871000289917,0.4315871000289917
211-000537,NEUTRO,4,TP7_Beta,-0.3462372124195099,0.3462372124195099
211-000537,NEUTRO,5,P1_Beta,-0.32289719581604004,0.32289719581604004
211-000537,NEUTRO,6,FT8_Beta,0.27965372800827026,0.27965372800827026
211-000537,NEUTRO,7,FT8_Alpha,0.2575593590736389,0.2575593590736389
211-000537,NEUTRO,8,C2_Beta,-0.2515909969806671,0.2515909969806671
211-000537,NEUTRO,9,CP5_Beta,0.24892657995224,0.24892657995224
211-000537,NEUTRO,10,AlphaAsym_CP2-CP1,-0.24295233190059662,0.24295233190059662
211-000537,NEUTRO,11,FC4_Beta,0.2060016393661499,0.2060016393661499
211-000537,NEUTRO,12,AF7_Beta,0.20151923596858978,0.20151923596858978
