class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,CPz,Alpha,0.00490008255994584,0.0019620514681838426,23
0,JOY,CPz,Beta,0.012018145686975268,0.005175736035085571,23
0,JOY,CPz,Gamma,0.0009938169748259736,-6.285981040577573e-05,23
0,JOY,Cz,Delta,0.014066021340954379,0.011603848798073106,23
0,JOY,Cz,Theta,0.011065932444523802,0.009650969045566938,23
0,JOY,Cz,Alpha,0.0013491387410514567,0.000716119971798807,23
0,JOY,Cz,Beta,0.005573794195998856,0.002323445306782071,23
0,JOY,Cz,Gamma,0.004831815058933626,0.0010284069520432176,23
0,JOY,FC4,Delta,0.009210636663220839,0.009189198049124742,23
0,JOY,FC4,Theta,0.033879311767973735,0.03183389920491081,23
0,JOY,FC4,Alpha,0.03079971260469225,0.030470594919015322,23
0,JOY,FC4,Beta,0.051307680447712924,0.048310394873446336,23
0,JOY,FC4,Gamma,0.07108153431961585,0.062358185377529435,23
0,JOY,FT8,Delta,0.004432630612493884,0.001195551486965182,23
0,JOY,FT8,Theta,0.006153657611907703,0.005615323987602082,23
0,JOY,FT8,Alpha,0.0011751011093281475,0.0009349282443589596,23
0,JOY,FT8,Beta,0.0,0.0,23
0,JOY,FT8,Gamma,0.0,0.0,23
0,JOY,TP7,Delta,0.00506629648659167,0.004899742222915801,23
0,JOY,TP7,Theta,0.0007390384378861854,0.0006300313215084399,23
0,JOY,TP7,Alpha,0.0025592885860937324,0.0023700290604496623,23
0,JOY,TP7,Beta,0.003577128948726556,0.002981001938117423,23
0,JOY,TP7,Gamma,0.0,0.0,23
0,JOY,C3,Delta,0.009741212108999609,0.007636701737684252,23
0,JOY,C3,Theta,0.013326569206385018,0.01169146497490183,23
0,JOY,C3,Alpha,0.0015352964251285765,0.0013117388616711537,23
0,JOY,C3,Beta,0.0042703755354575245,0.001711827272838195,23
0,JOY,C3,Gamma,0.0031808649999282256,-0.0009468147717442056,23
0,JOY,FCz,Delta,0.0,0.0,23
0,JOY,FCz,Theta,0.0,0.0,23
