rank,subject_a,subject_b,mode,metric,score_a_to_b,score_b_to_a,compatibility,asymmetry,min_score,max_score,chance_improvement,accuracy_a_to_b,accuracy_b_to_a,f1_macro_a_to_b,f1_macro_b_to_a,rank_score
32,211-000540,211-000554,calibrated,f1_macro,0.5339620551170198,0.4117552334943639,0.4728586443056918,0.12220682162265589,0.4117552334943639,0.5339620551170198,0.13952531097235849,0.5693430656934306,0.4215686274509804,0.5339620551170198,0.4117552334943639,0.4117552334943638
33,211-000540,211-000552,calibrated,f1_macro,0.4969271165992477,0.410989010989011,0.4539580637941294,0.08593810561023668,0.410989010989011,0.4969271165992477,0.12062473046079608,0.5,0.4117647058823529,0.4969271165992477,0.410989010989011,0.4109890109890111
34,211-000540,211-000553,calibrated,f1_macro,0.4093787928941851,0.5003060866074565,0.4548424397508208,0.09092729371327135,0.4093787928941851,0.5003060866074565,0.12150910641748747,0.4519230769230769,0.5784313725490197,0.4093787928941851,0.5003060866074565,0.4093787928941851
35,211-000531,211-000533,calibrated,f1_macro,0.4037037037037037,0.5794169301018616,0.4915603169027826,0.1757132263981579,0.4037037037037037,0.5794169301018616,0.1582269835694493,0.4782608695652174,0.6935483870967742,0.4037037037037037,0.5794169301018616,0.4037037037037037
36,211-000546,211-000553,calibrated,f1_macro,0.3978174603174603,0.4462703902092326,0.42204392526334644,0.0484529298917723,0.3978174603174603,0.4462703902092326,0.08871059193001313,0.4134615384615384,0.475177304964539,0.3978174603174603,0.4462703902092326,0.3978174603174603
37,211-000535,211-000540,calibrated,f1_macro,0.503976661085852,0.3940268666041862,0.4490017638450191,0.10994979448166586,0.3940268666041862,0.503976661085852,0.1156684305116858,0.5784313725490197,0.396039603960396,0.503976661085852,0.3940268666041862,0.3940268666041862
38,211-000541,211-000548,calibrated,f1_macro,0.4089150286333385,0.3926295416074475,0.400772285120393,0.016285487025891,0.3926295416074475,0.4089150286333385,0.06743895178705966,0.4150943396226415,0.4330708661417323,0.4089150286333385,0.3926295416074475,0.39262954160744745
39,211-000555,211-000557,calibrated,f1_macro,0.3892375909423566,0.489742484903978,0.4394900379231673,0.10050489396162138,0.3892375909423566,0.489742484903978,0.106156704589834,0.3909774436090225,0.4962406015037593,0.3892375909423566,0.489742484903978,0.38923759094235666
40,211-000536,211-000546,calibrated,f1_macro,0.5137266355140188,0.3844417077175697,0.4490841716157942,0.12928492779644907,0.3844417077175697,0.5137266355140188,0.11575083828246091,0.6382978723404256,0.4354838709677419,0.5137266355140188,0.3844417077175697,0.3844417077175697
41,211-000539,211-000540,calibrated,f1_macro,0.6588176442613978,0.3828324276366863,0.5208250359490421,0.2759852166247115,0.3828324276366863,0.6588176442613978,0.18749170261570874,0.6862745098039216,0.4090909090909091,0.6588176442613978,0.3828324276366863,0.38283242763668635
