mode,model_subject,predict_subject,accuracy,f1_macro,n_train,n_predict,model_solver,train_joy,train_neutro,train_sad,predict_joy,predict_neutro,predict_sad
calibrated,211-000550,211-000546,0.2127659574468085,0.1785858585858586,81,141,lsqr_auto,37,14,30,48,47,46
strict,211-000550,211-000547,0.3194444444444444,0.18813905930470345,81,144,lsqr_auto,37,14,30,49,47,48
calibrated,211-000550,211-000547,0.2986111111111111,0.3028721529647556,81,144,lsqr_auto,37,14,30,49,47,48
strict,211-000550,211-000548,0.1792452830188679,0.12012012012012012,81,106,lsqr_auto,37,14,30,37,39,30
calibrated,211-000550,211-000548,0.24528301886792453,0.2195023752163515,81,106,lsqr_auto,37,14,30,37,39,30
strict,211-000550,211-000549,0.33093525179856115,0.16576576576576577,81,139,lsqr_auto,37,14,30,46,46,47
calibrated,211-000550,211-000549,0.39568345323741005,0.3473654820310319,81,139,lsqr_auto,37,14,30,46,46,47
strict,211-000550,211-000552,0.25862068965517243,0.19248942027199145,81,116,lsqr_auto,37,14,30,36,45,35
calibrated,211-000550,211-000552,0.31896551724137934,0.26944444444444443,81,116,lsqr_auto,37,14,30,36,45,35
strict,211-000550,211-000553,0.33653846153846156,0.16786570743405274,81,104,lsqr_auto,37,14,30,38,35,31
calibrated,211-000550,211-000553,0.49038461538461536,0.44566575301597955,81,104,lsqr_auto,37,14,30,38,35,31
strict,211-000550,211-000554,0.41605839416058393,0.29847543347312794,81,137,lsqr_auto,37,14,30,49,44,44
calibrated,211-000550,211-000554,0.5401459854014599,0.47341671414489445,81,137,lsqr_auto,37,14,30,49,44,44
strict,211-000550,211-000555,0.06766917293233082,0.05940120406025018,81,133,lsqr_auto,37,14,30,42,46,45
calibrated,211-000550,211-000555,0.15037593984962405,0.10410830999066294,81,133,lsqr_auto,37,14,30,42,46,45
strict,211-000550,211-000556,0.5490196078431373,0.5235659481183778,81,102,lsqr_auto,37,14,30,39,36,27
calibrated,211-000550,211-000556,0.6078431372549019,0.5757658425689116,81,102,lsqr_auto,37,14,30,39,36,27
strict,211-000550,211-000557,0.3383458646616541,0.2190874259839777,81,133,lsqr_auto,37,14,30,45,43,45
calibrated,211-000550,211-000557,0.47368421052631576,0.4114307633294975,81,133,lsqr_auto,37,14,30,45,43,45
strict,211-000552,211-000531,0.45161290322580644,0.4311762311762312,116,62,lsqr_auto,36,45,35,35,18,9
calibrated,211-000552,211-000531,0.41935483870967744,0.44017094017094016,116,62,lsqr_auto,36,45,35,35,18,9
strict,211-000552,211-000532,0.375,0.3140689121176926,116,144,lsqr_auto,36,45,35,49,47,48
calibrated,211-000552,211-000532,0.3194444444444444,0.2318447215134143,116,144,lsqr_auto,36,45,35,49,47,48
strict,211-000552,211-000533,0.3188405797101449,0.16296296296296295,116,138,lsqr_auto,36,45,35,45,45,48
calibrated,211-000552,211-000533,0.32608695652173914,0.20886701597335655,116,138,lsqr_auto,36,45,35,45,45,48
strict,211-000552,211-000535,0.27722772277227725,0.14698162729658792,116,101,lsqr_auto,36,45,35,45,28,28
calibrated,211-000552,211-000535,0.26732673267326734,0.1974262397991212,116,101,lsqr_auto,36,45,35,45,28,28
strict,211-000552,211-000536,0.3790322580645161,0.21885640483738408,116,124,lsqr_auto,36,45,35,47,46,31
calibrated,211-000552,211-000536,0.3548387096774194,0.2413640796191132,116,124,lsqr_auto,36,45,35,47,46,31
strict,211-000552,211-000537,0.33587786259541985,0.17988767269298567,116,131,lsqr_auto,36,45,35,42,42,47
calibrated,211-000552,211-000537,0.3053435114503817,0.1758333333333333,116,131,lsqr_auto,36,45,35,42,42,47
strict,211-000552,211-000539,0.21212121212121213,0.11740041928721173,116,132,lsqr_auto,36,45,35,49,44,39
calibrated,211-000552,211-000539,0.3333333333333333,0.2494047619047619,116,132,lsqr_auto,36,45,35,49,44,39
strict,211-000552,211-000540,0.3235294117647059,0.16296296296296295,116,102,lsqr_auto,36,45,35,49,33,20
calibrated,211-000552,211-000540,0.4117647058823529,0.410989010989011,116,102,lsqr_auto,36,45,35,49,33,20
strict,211-000552,211-000541,0.3543307086614173,0.2195138195138195,116,127,lsqr_auto,36,45,35,41,40,46
calibrated,211-000552,211-000541,0.31496062992125984,0.16771488469601678,116,127,lsqr_auto,36,45,35,41,40,46
strict,211-000552,211-000543,0.3333333333333333,0.16666666666666666,116,141,lsqr_auto,36,45,35,49,45,47
calibrated,211-000552,211-000543,0.28368794326241137,0.22088234325063424,116,141,lsqr_auto,36,45,35,49,45,47
strict,211-000552,211-000544,0.4083333333333333,0.23587600139324275,116,120,lsqr_auto,36,45,35,27,46,47
calibrated,211-000552,211-000544,0.5583333333333333,0.5370370370370371,116,120,lsqr_auto,36,45,35,27,46,47
strict,211-000552,211-000545,0.2708333333333333,0.2070863433092535,116,96,lsqr_auto,36,45,35,44,23,29
calibrated,211-000552,211-000545,0.2604166666666667,0.25569215260885764,116,96,lsqr_auto,36,45,35,44,23,29
strict,211-000552,211-000546,0.5390070921985816,0.5395321637426901,116,141,lsqr_auto,36,45,35,48,47,46
calibrated,211-000552,211-000546,0.41843971631205673,0.3627474512979065,116,141,lsqr_auto,36,45,35,48,47,46
strict,211-000552,211-000547,0.2638888888888889,0.19863270978889638,116,144,lsqr_auto,36,45,35,49,47,48
calibrated,211-000552,211-000547,0.22916666666666666,0.1609978694311063,116,144,lsqr_auto,36,45,35,49,47,48
strict,211-000552,211-000548,0.4716981132075472,0.35588298703748616,116,106,lsqr_auto,36,45,35,37,39,30
calibrated,211-000552,211-000548,0.39622641509433965,0.27228327228327226,116,106,lsqr_auto,36,45,35,37,39,30
strict,211-000552,211-000549,0.302158273381295,0.15730337078651685,116,139,lsqr_auto,36,45,35,46,46,47
calibrated,211-000552,211-000549,0.3381294964028777,0.2240162271805274,116,139,lsqr_auto,36,45,35,46,46,47
strict,211-000552,211-000550,0.32098765432098764,0.18496943545487235,116,81,lsqr_auto,36,45,35,37,14,30
calibrated,211-000552,211-000550,0.2345679012345679,0.21251413924431575,116,81,lsqr_auto,36,45,35,37,14,30
strict,211-000552,211-000553,0.2980769230769231,0.15422885572139303,116,104,lsqr_auto,36,45,35,38,35,31
calibrated,211-000552,211-000553,0.3557692307692308,0.25779289828673496,116,104,lsqr_auto,36,45,35,38,35,31
strict,211-000552,211-000554,0.35766423357664234,0.17562724014336917,116,137,lsqr_auto,36,45,35,49,44,44
calibrated,211-000552,211-000554,0.46715328467153283,0.4525373230998413,116,137,lsqr_auto,36,45,35,49,44,44
strict,211-000552,211-000555,0.3533834586466165,0.2492063492063492,116,133,lsqr_auto,36,45,35,42,46,45
calibrated,211-000552,211-000555,0.3308270676691729,0.19824444655702378,116,133,lsqr_auto,36,45,35,42,46,45
strict,211-000552,211-000556,0.23529411764705882,0.16326530612244897,116,102,lsqr_auto,36,45,35,39,36,27
calibrated,211-000552,211-000556,0.3333333333333333,0.20206555904804668,116,102,lsqr_auto,36,45,35,39,36,27
strict,211-000552,211-000557,0.3533834586466165,0.2000841750841751,116,133,lsqr_auto,36,45,35,45,43,45
calibrated,211-000552,211-000557,0.42105263157894735,0.36322604513503515,116,133,lsqr_auto,36,45,35,45,43,45
strict,211-000553,211-000531,0.14516129032258066,0.08450704225352113,104,62,lsqr_auto,38,35,31,35,18,9
calibrated,211-000553,211-000531,0.3709677419354839,0.28055555555555556,104,62,lsqr_auto,38,35,31,35,18,9
strict,211-000553,211-000532,0.3263888888888889,0.1756991837280878,104,144,lsqr_auto,38,35,31,49,47,48
calibrated,211-000553,211-000532,0.2638888888888889,0.23495370370370372,104,144,lsqr_auto,38,35,31,49,47,48
strict,211-000553,211-000533,0.35507246376811596,0.21887424147311152,104,138,lsqr_auto,38,35,31,45,45,48
calibrated,211-000553,211-000533,0.3115942028985507,0.31854404275414944,104,138,lsqr_auto,38,35,31,45,45,48
strict,211-000553,211-000535,0.297029702970297,0.18481632653061222,104,101,lsqr_auto,38,35,31,45,28,28
calibrated,211-000553,211-000535,0.44554455445544555,0.41617201365834705,104,101,lsqr_auto,38,35,31,45,28,28
strict,211-000553,211-000536,0.22580645161290322,0.1328205128205128,104,124,lsqr_auto,38,35,31,47,46,31
calibrated,211-000553,211-000536,0.4032258064516129,0.3287804211101996,104,124,lsqr_auto,38,35,31,47,46,31
strict,211-000553,211-000537,0.35877862595419846,0.17602996254681647,104,131,lsqr_auto,38,35,31,42,42,47
calibrated,211-000553,211-000537,0.4732824427480916,0.4667267484168893,104,131,lsqr_auto,38,35,31,42,42,47
strict,211-000553,211-000539,0.4166666666666667,0.2717252581505975,104,132,lsqr_auto,38,35,31,49,44,39
calibrated,211-000553,211-000539,0.29545454545454547,0.29807734419480575,104,132,lsqr_auto,38,35,31,49,44,39
strict,211-000553,211-000540,0.29411764705882354,0.243978243978244,104,102,lsqr_auto,38,35,31,49,33,20
calibrated,211-000553,211-000540,0.5784313725490197,0.5003060866074565,104,102,lsqr_auto,38,35,31,49,33,20
strict,211-000553,211-000541,0.2992125984251969,0.23390117192219403,104,127,lsqr_auto,38,35,31,41,40,46
calibrated,211-000553,211-000541,0.28346456692913385,0.2535782535782536,104,127,lsqr_auto,38,35,31,41,40,46
strict,211-000553,211-000543,0.3333333333333333,0.16666666666666666,104,141,lsqr_auto,38,35,31,49,45,47
calibrated,211-000553,211-000543,0.2907801418439716,0.25914824318620694,104,141,lsqr_auto,38,35,31,49,45,47
strict,211-000553,211-000544,0.18333333333333332,0.14444674853882014,104,120,lsqr_auto,38,35,31,27,46,47
calibrated,211-000553,211-000544,0.2,0.17902097902097902,104,120,lsqr_auto,38,35,31,27,46,47
strict,211-000553,211-000545,0.5520833333333334,0.415906432748538,104,96,lsqr_auto,38,35,31,44,23,29
calibrated,211-000553,211-000545,0.5416666666666666,0.5477697896089035,104,96,lsqr_auto,38,35,31,44,23,29
strict,211-000553,211-000546,0.3617021276595745,0.23939393939393938,104,141,lsqr_auto,38,35,31,48,47,46
calibrated,211-000553,211-000546,0.475177304964539,0.4462703902092326,104,141,lsqr_auto,38,35,31,48,47,46
strict,211-000553,211-000547,0.3263888888888889,0.16491228070175437,104,144,lsqr_auto,38,35,31,49,47,48
calibrated,211-000553,211-000547,0.3125,0.298873527905786,104,144,lsqr_auto,38,35,31,49,47,48
strict,211-000553,211-000548,0.3490566037735849,0.1724941724941725,104,106,lsqr_auto,38,35,31,37,39,30
calibrated,211-000553,211-000548,0.4716981132075472,0.4150850530841755,104,106,lsqr_auto,38,35,31,37,39,30
strict,211-000553,211-000549,0.35251798561151076,0.20883190883190883,104,139,lsqr_auto,38,35,31,46,46,47
calibrated,211-000553,211-000549,0.37410071942446044,0.35487862575972634,104,139,lsqr_auto,38,35,31,46,46,47
strict,211-000553,211-000550,0.37037037037037035,0.1801801801801802,104,81,lsqr_auto,38,35,31,37,14,30
calibrated,211-000553,211-000550,0.3333333333333333,0.30622909698996653,104,81,lsqr_auto,38,35,31,37,14,30
strict,211-000553,211-000552,0.3017241379310345,0.15452538631346577,104,116,lsqr_auto,38,35,31,36,45,35
calibrated,211-000553,211-000552,0.25862068965517243,0.2384222497430045,104,116,lsqr_auto,38,35,31,36,45,35
strict,211-000553,211-000554,0.44525547445255476,0.3539284160974237,104,137,lsqr_auto,38,35,31,49,44,44
calibrated,211-000553,211-000554,0.48175182481751827,0.47924852231968335,104,137,lsqr_auto,38,35,31,49,44,44
strict,211-000553,211-000555,0.16541353383458646,0.13315608729367454,104,133,lsqr_auto,38,35,31,42,46,45
calibrated,211-000553,211-000555,0.39097744360902253,0.3229112362836472,104,133,lsqr_auto,38,35,31,42,46,45
strict,211-000553,211-000556,0.29411764705882354,0.19278033794162827,104,102,lsqr_auto,38,35,31,39,36,27
calibrated,211-000553,211-000556,0.5686274509803921,0.5022591884905024,104,102,lsqr_auto,38,35,31,39,36,27
strict,211-000553,211-000557,0.39097744360902253,0.2698039215686275,104,133,lsqr_auto,38,35,31,45,43,45
calibrated,211-000553,211-000557,0.5864661654135338,0.5906607851270111,104,133,lsqr_auto,38,35,31,45,43,45
strict,211-000554,211-000531,0.14516129032258066,0.0857142857142857,137,62,lsqr_auto,49,44,44,35,18,9
calibrated,211-000554,211-000531,0.5161290322580645,0.5160446570972886,137,62,lsqr_auto,49,44,44,35,18,9
strict,211-000554,211-000532,0.19444444444444445,0.14305514305514308,137,144,lsqr_auto,49,44,44,49,47,48
calibrated,211-000554,211-000532,0.18055555555555555,0.18107481743845377,137,144,lsqr_auto,49,44,44,49,47,48
strict,211-000554,211-000533,0.35507246376811596,0.1897130647130647,137,138,lsqr_auto,49,44,44,45,45,48
calibrated,211-000554,211-000533,0.45652173913043476,0.45646444231701117,137,138,lsqr_auto,49,44,44,45,45,48
strict,211-000554,211-000535,0.27722772277227725,0.14470284237726097,137,101,lsqr_auto,49,44,44,45,28,28
calibrated,211-000554,211-000535,0.33663366336633666,0.33480011504170265,137,101,lsqr_auto,49,44,44,45,28,28
strict,211-000554,211-000536,0.3387096774193548,0.20305303329385446,137,124,lsqr_auto,49,44,44,47,46,31
calibrated,211-000554,211-000536,0.25806451612903225,0.23118279569892472,137,124,lsqr_auto,49,44,44,47,46,31
strict,211-000554,211-000537,0.2900763358778626,0.221171133792493,137,131,lsqr_auto,49,44,44,42,42,47
calibrated,211-000554,211-000537,0.3893129770992366,0.4008445258445259,137,131,lsqr_auto,49,44,44,42,42,47
strict,211-000554,211-000539,0.36363636363636365,0.1964349376114082,137,132,lsqr_auto,49,44,44,49,44,39
calibrated,211-000554,211-000539,0.36363636363636365,0.36165311653116533,137,132,lsqr_auto,49,44,44,49,44,39
strict,211-000554,211-000540,0.2549019607843137,0.22843340234644582,137,102,lsqr_auto,49,44,44,49,33,20
calibrated,211-000554,211-000540,0.4215686274509804,0.4117552334943639,137,102,lsqr_auto,49,44,44,49,33,20
strict,211-000554,211-000541,0.2125984251968504,0.13731245923026744,137,127,lsqr_auto,49,44,44,41,40,46
calibrated,211-000554,211-000541,0.1732283464566929,0.14397542570273478,137,127,lsqr_auto,49,44,44,41,40,46
strict,211-000554,211-000543,0.2765957446808511,0.22182539682539684,137,141,lsqr_auto,49,44,44,49,45,47
calibrated,211-000554,211-000543,0.3475177304964539,0.330489475650766,137,141,lsqr_auto,49,44,44,49,45,47
strict,211-000554,211-000544,0.4,0.2142027542724407,137,120,lsqr_auto,49,44,44,27,46,47
calibrated,211-000554,211-000544,0.30833333333333335,0.28276955602536996,137,120,lsqr_auto,49,44,44,27,46,47
strict,211-000554,211-000545,0.1875,0.16682732472206155,137,96,lsqr_auto,49,44,44,44,23,29
calibrated,211-000554,211-000545,0.2604166666666667,0.2623474178403756,137,96,lsqr_auto,49,44,44,44,23,29
strict,211-000554,211-000546,0.15602836879432624,0.12535612535612536,137,141,lsqr_auto,49,44,44,48,47,46
calibrated,211-000554,211-000546,0.23404255319148937,0.2212756159336864,137,141,lsqr_auto,49,44,44,48,47,46
strict,211-000554,211-000547,0.3333333333333333,0.17911816578483244,137,144,lsqr_auto,49,44,44,49,47,48
calibrated,211-000554,211-000547,0.2638888888888889,0.2567579079206986,137,144,lsqr_auto,49,44,44,49,47,48
strict,211-000554,211-000548,0.5754716981132075,0.49215265239606015,137,106,lsqr_auto,49,44,44,37,39,30
calibrated,211-000554,211-000548,0.5566037735849056,0.5014338223119971,137,106,lsqr_auto,49,44,44,37,39,30
strict,211-000554,211-000549,0.3381294964028777,0.18055555555555555,137,139,lsqr_auto,49,44,44,46,46,47
calibrated,211-000554,211-000549,0.30935251798561153,0.31420679472002644,137,139,lsqr_auto,49,44,44,46,46,47
strict,211-000554,211-000550,0.48148148148148145,0.39828431372549017,137,81,lsqr_auto,49,44,44,37,14,30
calibrated,211-000554,211-000550,0.6790123456790124,0.6329368334700574,137,81,lsqr_auto,49,44,44,37,14,30
strict,211-000554,211-000552,0.33620689655172414,0.262962962962963,137,116,lsqr_auto,49,44,44,36,45,35
calibrated,211-000554,211-000552,0.4224137931034483,0.41658508201566424,137,116,lsqr_auto,49,44,44,36,45,35
strict,211-000554,211-000553,0.33653846153846156,0.17412935323383083,137,104,lsqr_auto,49,44,44,38,35,31
calibrated,211-000554,211-000553,0.28846153846153844,0.26801501962792285,137,104,lsqr_auto,49,44,44,38,35,31
strict,211-000554,211-000555,0.17293233082706766,0.09829059829059829,137,133,lsqr_auto,49,44,44,42,46,45
calibrated,211-000554,211-000555,0.3684210526315789,0.2846190102120974,137,133,lsqr_auto,49,44,44,42,46,45
strict,211-000554,211-000556,0.27450980392156865,0.1984848484848485,137,102,lsqr_auto,49,44,44,39,36,27
calibrated,211-000554,211-000556,0.6372549019607843,0.5640640061692693,137,102,lsqr_auto,49,44,44,39,36,27
strict,211-000554,211-000557,0.3233082706766917,0.19949305468127074,137,133,lsqr_auto,49,44,44,45,43,45
calibrated,211-000554,211-000557,0.23308270676691728,0.22452961672473867,137,133,lsqr_auto,49,44,44,45,43,45
strict,211-000555,211-000531,0.5,0.2519640852974186,133,62,lsqr_auto,42,46,45,35,18,9
calibrated,211-000555,211-000531,0.20967741935483872,0.1613308223477715,133,62,lsqr_auto,42,46,45,35,18,9
strict,211-000555,211-000532,0.3611111111111111,0.2328772563639392,133,144,lsqr_auto,42,46,45,49,47,48
calibrated,211-000555,211-000532,0.3055555555555556,0.3046255324913367,133,144,lsqr_auto,42,46,45,49,47,48
strict,211-000555,211-000533,0.2898550724637681,0.24290741043716194,133,138,lsqr_auto,42,46,45,45,45,48
calibrated,211-000555,211-000533,0.2246376811594203,0.22833695514107885,133,138,lsqr_auto,42,46,45,45,45,48
strict,211-000555,211-000535,0.40594059405940597,0.21067821067821066,133,101,lsqr_auto,42,46,45,45,28,28
calibrated,211-000555,211-000535,0.3069306930693069,0.3097263764262767,133,101,lsqr_auto,42,46,45,45,28,28
strict,211-000555,211-000536,0.1693548387096774,0.12948173322005097,133,124,lsqr_auto,42,46,45,47,46,31
calibrated,211-000555,211-000536,0.27419354838709675,0.2990984231784022,133,124,lsqr_auto,42,46,45,47,46,31
strict,211-000555,211-000537,0.17557251908396945,0.1950093329403674,133,131,lsqr_auto,42,46,45,42,42,47
calibrated,211-000555,211-000537,0.2595419847328244,0.25060386473429946,133,131,lsqr_auto,42,46,45,42,42,47
strict,211-000555,211-000539,0.3106060606060606,0.18674242424242424,133,132,lsqr_auto,42,46,45,49,44,39
calibrated,211-000555,211-000539,0.2727272727272727,0.26868396511919057,133,132,lsqr_auto,42,46,45,49,44,39
strict,211-000555,211-000540,0.30392156862745096,0.2649859943977591,133,102,lsqr_auto,42,46,45,49,33,20
calibrated,211-000555,211-000540,0.3235294117647059,0.3084567901234568,133,102,lsqr_auto,42,46,45,49,33,20
strict,211-000555,211-000541,0.33858267716535434,0.2514712340799297,133,127,lsqr_auto,42,46,45,41,40,46
