model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000544,0.14516129032258066,0.3263888888888889,0.39855072463768115,0.27722772277227725,0.25806451612903225,0.35877862595419846,0.3939393939393939,0.19607843137254902,0.3228346456692913,0.3333333333333333,,0.22916666666666666,0.46099290780141844,0.5763888888888888,0.36792452830188677,0.35251798561151076,0.49382716049382713,0.39655172413793105,0.20192307692307693,0.32116788321167883,0.08270676691729323,0.2647058823529412,0.3233082706766917
211-000545,0.27419354838709675,0.3680555555555556,0.32608695652173914,0.26732673267326734,0.3387096774193548,0.3969465648854962,0.3333333333333333,0.6176470588235294,0.4881889763779528,0.3191489361702128,0.38333333333333336,,0.6453900709219859,0.3263888888888889,0.36792452830188677,0.3381294964028777,0.1728395061728395,0.3879310344827586,0.33653846153846156,0.32116788321167883,0.3458646616541353,0.35294117647058826,0.3233082706766917
211-000546,0.11290322580645161,0.4305555555555556,0.34782608695652173,0.22772277227722773,0.3467741935483871,0.20610687022900764,0.3787878787878788,0.4803921568627451,0.48031496062992124,0.3333333333333333,0.38333333333333336,0.4895833333333333,,0.3263888888888889,0.2830188679245283,0.3381294964028777,0.024691358024691357,0.41379310344827586,0.33653846153846156,0.32116788321167883,0.10526315789473684,0.29411764705882354,0.3383458646616541
211-000547,0.2903225806451613,0.3958333333333333,0.35507246376811596,0.27722772277227725,0.23387096774193547,0.35877862595419846,0.29545454545454547,0.18627450980392157,0.3228346456692913,0.3333333333333333,0.39166666666666666,0.3020833333333333,0.3262411347517731,,0.2830188679245283,0.3381294964028777,0.1728395061728395,0.4224137931034483,0.2980769230769231,0.32116788321167883,0.3383458646616541,0.2647058823529412,0.3383458646616541
211-000548,0.5645161290322581,0.3263888888888889,0.38405797101449274,0.27722772277227725,0.4596774193548387,0.3816793893129771,0.015151515151515152,0.47058823529411764,0.36220472440944884,0.2765957446808511,0.38333333333333336,0.23958333333333334,0.2907801418439716,0.3402777777777778,,0.35251798561151076,0.2345679012345679,0.3103448275862069,0.4230769230769231,0.35766423357664234,0.3157894736842105,0.37254901960784315,0.12781954887218044
211-000549,0.14516129032258066,0.375,0.3115942028985507,0.27722772277227725,0.25806451612903225,0.5343511450381679,0.29545454545454547,0.3431372549019608,0.36220472440944884,0.36879432624113473,0.21666666666666667,0.5,0.6028368794326241,0.3263888888888889,0.27358490566037735,,0.4074074074074074,0.603448275862069,0.2980769230769231,0.32116788321167883,0.23308270676691728,0.27450980392156865,0.3383458646616541
211-000550,0.12903225806451613,0.3125,0.391304347826087,0.3564356435643564,0.3951612903225806,0.35877862595419846,0.3712121212121212,0.49019607843137253,0.3700787401574803,0.44680851063829785,0.4083333333333333,0.40625,0.2765957446808511,0.3194444444444444,0.1792452830188679,0.33093525179856115,,0.25862068965517243,0.33653846153846156,0.41605839416058393,0.06766917293233082,0.5490196078431373,0.3383458646616541
211-000552,0.45161290322580644,0.375,0.3188405797101449,0.27722772277227725,0.3790322580645161,0.33587786259541985,0.21212121212121213,0.3235294117647059,0.3543307086614173,0.3333333333333333,0.4083333333333333,0.2708333333333333,0.5390070921985816,0.2638888888888889,0.4716981132075472,0.302158273381295,0.32098765432098764,,0.2980769230769231,0.35766423357664234,0.3533834586466165,0.23529411764705882,0.3533834586466165
211-000553,0.14516129032258066,0.3263888888888889,0.35507246376811596,0.297029702970297,0.22580645161290322,0.35877862595419846,0.4166666666666667,0.29411764705882354,0.2992125984251969,0.3333333333333333,0.18333333333333332,0.5520833333333334,0.3617021276595745,0.3263888888888889,0.3490566037735849,0.35251798561151076,0.37037037037037035,0.3017241379310345,,0.44525547445255476,0.16541353383458646,0.29411764705882354,0.39097744360902253
211-000554,0.14516129032258066,0.19444444444444445,0.35507246376811596,0.27722772277227725,0.3387096774193548,0.2900763358778626,0.36363636363636365,0.2549019607843137,0.2125984251968504,0.2765957446808511,0.4,0.1875,0.15602836879432624,0.3333333333333333,0.5754716981132075,0.3381294964028777,0.48148148148148145,0.33620689655172414,0.33653846153846156,,0.17293233082706766,0.27450980392156865,0.3233082706766917
211-000555,0.5,0.3611111111111111,0.2898550724637681,0.40594059405940597,0.1693548387096774,0.17557251908396945,0.3106060606060606,0.30392156862745096,0.33858267716535434,0.3829787234042553,0.39166666666666666,0.23958333333333334,0.375886524822695,0.4305555555555556,0.5283018867924528,0.37410071942446044,0.30864197530864196,0.3017241379310345,0.3557692307692308,0.35766423357664234,,0.24509803921568626,0.5112781954887218
211-000556,0.3387096774193548,0.2847222222222222,0.36231884057971014,0.26732673267326734,0.0967741935483871,0.3511450381679389,0.3181818181818182,0.24509803921568626,0.36220472440944884,0.3191489361702128,0.20833333333333334,0.21875,0.2553191489361702,0.4027777777777778,0.3113207547169811,0.3237410071942446,0.2962962962962963,0.27586206896551724,0.3173076923076923,0.32116788321167883,0.3157894736842105,,0.40601503759398494
211-000557,0.14516129032258066,0.2777777777777778,0.34057971014492755,0.27722772277227725,0.25806451612903225,0.35877862595419846,0.2803030303030303,0.45098039215686275,0.36220472440944884,0.3262411347517731,0.14166666666666666,0.23958333333333334,0.3333333333333333,0.3194444444444444,0.0,0.3237410071942446,0.37037037037037035,0.3017241379310345,0.2980769230769231,0.3357664233576642,0.3233082706766917,0.49019607843137253,
