model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000544,0.08450704225352113,0.18817685047193244,0.26577939100625125,0.14470284237726097,0.198005698005698,0.178030303030303,0.285550364724203,0.1374570446735395,0.19707276850133995,0.16666666666666666,,0.19948849104859337,0.4008044517026553,0.49041095890410963,0.18055555555555555,0.2084981684981685,0.4110767113863089,0.3218314532183146,0.15397536394176933,0.16206261510128914,0.05926916221033868,0.17647058823529413,0.17510393739300564
211-000545,0.1574074074074074,0.23522555875497053,0.16393442622950818,0.15998696643857935,0.25616883116883116,0.28034188034188035,0.16666666666666666,0.5737964351157755,0.3994874545562906,0.16666666666666666,0.18473895582329317,,0.5364331723027376,0.16404886561954626,0.1793103448275862,0.18085106382978722,0.0982456140350877,0.18633540372670807,0.16786570743405274,0.16206261510128914,0.1713221601489758,0.17391304347826086,0.16287878787878787
211-000546,0.08187134502923976,0.34721773759552255,0.17204301075268816,0.12365591397849462,0.3295229577660461,0.19794927145169994,0.295970695970696,0.2163355408388521,0.43906485671191553,0.16666666666666666,0.18473895582329317,0.4117964693665628,,0.16491228070175437,0.14705882352941177,0.2933940769841124,0.016260162601626018,0.2655122655122655,0.26330532212885155,0.16206261510128914,0.10190921488408337,0.2564179402657077,0.1714285714285714
211-000547,0.23043478260869565,0.34811702458761284,0.18746572659616137,0.14470284237726097,0.12719298245614036,0.18939393939393936,0.15204678362573099,0.1046831955922865,0.3147753297007028,0.18091074681238617,0.18762475049900199,0.15466666666666667,0.16399286987522282,,0.14705882352941177,0.1693693693693694,0.1352657004830918,0.38584975988627096,0.15422885572139303,0.16206261510128914,0.16853932584269662,0.13953488372093023,0.16853932584269662
211-000548,0.24054982817869416,0.16404886561954626,0.29264069264069265,0.14583333333333334,0.363718820861678,0.277378261762893,0.009950248756218905,0.21333333333333335,0.31464840964199114,0.23141421517060434,0.18585858585858586,0.1288515406162465,0.21759101233444159,0.1692573402417962,,0.3302219622026026,0.2093189964157706,0.15789473684210525,0.3319088319088319,0.17562724014336917,0.16,0.18095238095238095,0.10071154898741104
211-000549,0.08450704225352113,0.2656926406926407,0.1601489757914339,0.14470284237726097,0.149937237588192,0.42734612913139447,0.15476190476190477,0.28086059190031154,0.1772639691714836,0.2748815971116067,0.14267257290513105,0.34074074074074073,0.5088383838383838,0.2774028429838289,0.15718157181571815,,0.2423076923076923,0.5046511627906977,0.15308641975308643,0.16206261510128914,0.1435268903623334,0.15729166666666666,0.16853932584269662
211-000550,0.07619047619047618,0.22386528685548293,0.2984418901660281,0.254320987654321,0.2339821051477493,0.18974630021141647,0.18047882136279925,0.25555555555555554,0.27729011062344394,0.3536702646095143,0.22813905930470346,0.3809514609997586,0.15606060606060607,0.18813905930470345,0.12012012012012012,0.16576576576576577,,0.19248942027199145,0.16786570743405274,0.29847543347312794,0.05940120406025018,0.5235659481183778,0.2190874259839777
211-000552,0.4311762311762312,0.3140689121176926,0.16296296296296295,0.14698162729658792,0.21885640483738408,0.17988767269298567,0.11740041928721173,0.16296296296296295,0.2195138195138195,0.16666666666666666,0.23587600139324275,0.2070863433092535,0.5395321637426901,0.19863270978889638,0.35588298703748616,0.15730337078651685,0.18496943545487235,,0.15422885572139303,0.17562724014336917,0.2492063492063492,0.16326530612244897,0.2000841750841751
211-000553,0.08450704225352113,0.1756991837280878,0.21887424147311152,0.18481632653061222,0.1328205128205128,0.17602996254681647,0.2717252581505975,0.243978243978244,0.23390117192219403,0.16666666666666666,0.14444674853882014,0.415906432748538,0.23939393939393938,0.16491228070175437,0.1724941724941725,0.20883190883190883,0.1801801801801802,0.15452538631346577,,0.3539284160974237,0.13315608729367454,0.19278033794162827,0.2698039215686275
211-000554,0.0857142857142857,0.14305514305514308,0.1897130647130647,0.14470284237726097,0.20305303329385446,0.221171133792493,0.1964349376114082,0.22843340234644582,0.13731245923026744,0.22182539682539684,0.2142027542724407,0.16682732472206155,0.12535612535612536,0.17911816578483244,0.49215265239606015,0.18055555555555555,0.39828431372549017,0.262962962962963,0.17412935323383083,,0.09829059829059829,0.1984848484848485,0.19949305468127074
211-000555,0.2519640852974186,0.2328772563639392,0.24290741043716194,0.21067821067821066,0.12948173322005097,0.1950093329403674,0.18674242424242424,0.2649859943977591,0.2514712340799297,0.316098541980895,0.34477048380437636,0.12994350282485875,0.30465949820788535,0.395042735042735,0.41534391534391535,0.27608181724740466,0.31758340226082166,0.15555555555555556,0.2078824392693006,0.2592220776269856,,0.16666666666666666,0.41035963499731615
211-000556,0.34422657952069713,0.19689059055574895,0.20264116575591987,0.21388888888888888,0.06153846153846154,0.22656573645162506,0.2127329192546584,0.21792717086834734,0.1772639691714836,0.16129032258064516,0.13438807055828333,0.19635378171963538,0.2944150499706055,0.3108969210174029,0.15827338129496402,0.16304347826086957,0.2639786335831826,0.14414414414414414,0.1924660852713178,0.16206261510128914,0.20698412698412702,,0.2965827099212895
211-000557,0.11538461538461538,0.2248236331569665,0.22568377943542486,0.14470284237726097,0.15935672514619884,0.19038961038961036,0.14682539682539683,0.4414913252122554,0.17829457364341084,0.2381466163160103,0.14470354006436478,0.1288515406162465,0.1782078853046595,0.18239745121465553,0.0,0.21676715475165087,0.1801801801801802,0.15452538631346577,0.15538847117794485,0.24333333333333332,0.1657032755298651,0.4415055693638958,
