model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000544,0.41935483870967744,0.3541666666666667,0.5289855072463768,0.2079207920792079,0.27419354838709675,0.31297709923664124,0.3484848484848485,0.1568627450980392,0.36220472440944884,0.36879432624113473,,0.16666666666666666,0.44680851063829785,0.5625,0.44339622641509435,0.19424460431654678,0.3950617283950617,0.5948275862068966,0.19230769230769232,0.291970802919708,0.07518796992481203,0.2647058823529412,0.3533834586466165
211-000545,0.3387096774193548,0.4375,0.18840579710144928,0.5742574257425742,0.20967741935483872,0.4732824427480916,0.553030303030303,0.6274509803921569,0.4094488188976378,0.5106382978723404,0.2833333333333333,,0.7659574468085106,0.04861111111111111,0.07547169811320754,0.3669064748201439,0.6049382716049383,0.27586206896551724,0.6153846153846154,0.40875912408759124,0.18045112781954886,0.5392156862745098,0.45864661654135336
211-000546,0.45161290322580644,0.3402777777777778,0.37681159420289856,0.4158415841584158,0.43548387096774194,0.2900763358778626,0.3181818181818182,0.46078431372549017,0.3700787401574803,0.3475177304964539,0.575,0.6666666666666666,,0.3194444444444444,0.2830188679245283,0.3381294964028777,0.1728395061728395,0.7155172413793104,0.41346153846153844,0.29927007299270075,0.3308270676691729,0.3137254901960784,0.2556390977443609
211-000547,0.41935483870967744,0.4583333333333333,0.2898550724637681,0.16831683168316833,0.3870967741935484,0.22900763358778625,0.16666666666666666,0.16666666666666666,0.3228346456692913,0.2198581560283688,0.4,0.08333333333333333,0.04964539007092199,,0.37735849056603776,0.37410071942446044,0.12345679012345678,0.2672413793103448,0.2980769230769231,0.1897810218978102,0.7293233082706767,0.23529411764705882,0.2556390977443609
211-000548,0.16129032258064516,0.2708333333333333,0.5434782608695652,0.16831683168316833,0.2903225806451613,0.3893129770992366,0.015151515151515152,0.0392156862745098,0.4330708661417323,0.22695035460992907,0.425,0.125,0.24822695035460993,0.4861111111111111,,0.2517985611510791,0.19753086419753085,0.3275862068965517,0.17307692307692307,0.1678832116788321,0.47368421052631576,0.19607843137254902,0.3007518796992481
211-000549,0.16129032258064516,0.3958333333333333,0.2028985507246377,0.2871287128712871,0.2903225806451613,0.2748091603053435,0.4166666666666667,0.45098039215686275,0.30708661417322836,0.5460992907801419,0.25,0.3645833333333333,0.2765957446808511,0.3333333333333333,0.4716981132075472,,0.30864197530864196,0.5603448275862069,0.28846153846153844,0.46715328467153283,0.3157894736842105,0.5490196078431373,0.24812030075187969
211-000550,0.3870967741935484,0.3263888888888889,0.34782608695652173,0.5346534653465347,0.3064516129032258,0.1450381679389313,0.45454545454545453,0.5980392156862745,0.3543307086614173,0.5673758865248227,0.19166666666666668,0.5833333333333334,0.2127659574468085,0.2986111111111111,0.24528301886792453,0.39568345323741005,,0.31896551724137934,0.49038461538461536,0.5401459854014599,0.15037593984962405,0.6078431372549019,0.47368421052631576
211-000552,0.41935483870967744,0.3194444444444444,0.32608695652173914,0.26732673267326734,0.3548387096774194,0.3053435114503817,0.3333333333333333,0.4117647058823529,0.31496062992125984,0.28368794326241137,0.5583333333333333,0.2604166666666667,0.41843971631205673,0.22916666666666666,0.39622641509433965,0.3381294964028777,0.2345679012345679,,0.3557692307692308,0.46715328467153283,0.3308270676691729,0.3333333333333333,0.42105263157894735
211-000553,0.3709677419354839,0.2638888888888889,0.3115942028985507,0.44554455445544555,0.4032258064516129,0.4732824427480916,0.29545454545454547,0.5784313725490197,0.28346456692913385,0.2907801418439716,0.2,0.5416666666666666,0.475177304964539,0.3125,0.4716981132075472,0.37410071942446044,0.3333333333333333,0.25862068965517243,,0.48175182481751827,0.39097744360902253,0.5686274509803921,0.5864661654135338
211-000554,0.5161290322580645,0.18055555555555555,0.45652173913043476,0.33663366336633666,0.25806451612903225,0.3893129770992366,0.36363636363636365,0.4215686274509804,0.1732283464566929,0.3475177304964539,0.30833333333333335,0.2604166666666667,0.23404255319148937,0.2638888888888889,0.5566037735849056,0.30935251798561153,0.6790123456790124,0.4224137931034483,0.28846153846153844,,0.3684210526315789,0.6372549019607843,0.23308270676691728
211-000555,0.20967741935483872,0.3055555555555556,0.2246376811594203,0.3069306930693069,0.27419354838709675,0.2595419847328244,0.2727272727272727,0.3235294117647059,0.2755905511811024,0.2695035460992908,0.2916666666666667,0.28125,0.19858156028368795,0.4236111111111111,0.2641509433962264,0.2446043165467626,0.1728395061728395,0.1810344827586207,0.41346153846153844,0.30656934306569344,,0.12745098039215685,0.39097744360902253
211-000556,0.5,0.2847222222222222,0.21739130434782608,0.37623762376237624,0.2903225806451613,0.26717557251908397,0.49242424242424243,0.24509803921568626,0.2992125984251969,0.49645390070921985,0.3333333333333333,0.3541666666666667,0.475177304964539,0.4027777777777778,0.1509433962264151,0.3669064748201439,0.49382716049382713,0.35344827586206895,0.25961538461538464,0.4744525547445255,0.3082706766917293,,0.5488721804511278
211-000557,0.4032258064516129,0.2708333333333333,0.16666666666666666,0.38613861386138615,0.3870967741935484,0.32061068702290074,0.32575757575757575,0.5294117647058824,0.4566929133858268,0.2198581560283688,0.15833333333333333,0.5104166666666666,0.425531914893617,0.2638888888888889,0.11320754716981132,0.2014388489208633,0.3333333333333333,0.22413793103448276,0.5096153846153846,0.35766423357664234,0.49624060150375937,0.3431372549019608,
