model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000544,0.41090909090909095,0.32617866004962776,0.46685590818859773,0.2058823529411765,0.2709237177322284,0.27618568795039383,0.32269503546099293,0.15517649846008055,0.32304984581923285,0.31546946462200703,,0.1682193232506184,0.4380964149534973,0.572418458388182,0.38041565480589873,0.19063130927537708,0.3564027370478984,0.5911814053721235,0.1857928166566977,0.23687860289081208,0.06201292398147377,0.18947368421052632,0.3546216507024959
211-000545,0.2431372549019608,0.4358360098242962,0.16380061422159223,0.5095730249814364,0.23024585123762467,0.43034694773825205,0.5020232096503283,0.5959523809523809,0.38376646856013724,0.47275132275132276,0.27921884494858623,,0.7643936300530828,0.049024350911143356,0.09213577904279992,0.33274444045195034,0.5130340072868809,0.2540775816712106,0.6013014568297247,0.3612451041022469,0.1594069225767736,0.46848265365034375,0.41382027889037226
211-000546,0.34722222222222227,0.32749446810687743,0.32288036059049235,0.3658170914542729,0.38444170771756975,0.28657659870629654,0.2838476024916703,0.47719440244752925,0.38954758915701865,0.3227323358902306,0.5907336533471718,0.6663860830527497,,0.3066028621584177,0.22488020365378855,0.31939605110336816,0.1709488923774638,0.7189478896117998,0.3978174603174603,0.3012012012012012,0.2472751322751323,0.27933250414593697,0.26241183007870084
211-000547,0.3531705079692696,0.4587996808350046,0.25901178358473037,0.16584564860426929,0.40898003609868017,0.21288515406162464,0.13763769687547647,0.14505494505494507,0.2813329620347164,0.19521072796934866,0.34673191904626655,0.0798394907983949,0.05239704724495078,,0.3784546495886702,0.3400321251484042,0.15873015873015872,0.23140353468222322,0.2838512267194739,0.17362637362637365,0.7195286195286196,0.2140612725844462,0.2164259750466647
211-000548,0.1835897435897436,0.24634858812074004,0.5297659260281402,0.1861165875623707,0.2902902902902903,0.31276323017762314,0.020475760313158686,0.034074074074074076,0.3926295416074475,0.19969975379811444,0.4360942760942761,0.11073699962588851,0.2187063159232431,0.45092728416205646,,0.20134286333116744,0.20269604481895154,0.3271151821245501,0.15963944731068017,0.13596780942780548,0.39629064133833025,0.14404761904761906,0.2567747343866747
211-000549,0.15943191311612362,0.36123498080019817,0.2069534786412568,0.2800542740841248,0.24017094017094018,0.2514245014245014,0.4263492063492064,0.421502747345444,0.24036511156186613,0.5515011799258751,0.22614476710621567,0.36846290963938017,0.3072658111984474,0.31111599422165254,0.43809523809523804,,0.322322477378048,0.5551894488964823,0.2764246835858089,0.4655646296077116,0.2282385934634883,0.5120772946859903,0.2237708091366628
211-000550,0.22499999999999998,0.30199490855228556,0.3125097125097125,0.47378917378917373,0.24637383689107825,0.15450488852023378,0.3849021399595484,0.49539409259638817,0.31512113617376775,0.5090318388564002,0.1963772669826882,0.48957243274668355,0.1785858585858586,0.3028721529647556,0.2195023752163515,0.3473654820310319,,0.26944444444444443,0.44566575301597955,0.47341671414489445,0.10410830999066294,0.5757658425689116,0.4114307633294975
211-000552,0.44017094017094016,0.2318447215134143,0.20886701597335655,0.1974262397991212,0.2413640796191132,0.1758333333333333,0.2494047619047619,0.410989010989011,0.16771488469601678,0.22088234325063424,0.5370370370370371,0.25569215260885764,0.3627474512979065,0.1609978694311063,0.27228327228327226,0.2240162271805274,0.21251413924431575,,0.25779289828673496,0.4525373230998413,0.19824444655702378,0.20206555904804668,0.36322604513503515
211-000553,0.28055555555555556,0.23495370370370372,0.31854404275414944,0.41617201365834705,0.3287804211101996,0.4667267484168893,0.29807734419480575,0.5003060866074565,0.2535782535782536,0.25914824318620694,0.17902097902097902,0.5477697896089035,0.4462703902092326,0.298873527905786,0.4150850530841755,0.35487862575972634,0.30622909698996653,0.2384222497430045,,0.47924852231968335,0.3229112362836472,0.5022591884905024,0.5906607851270111
211-000554,0.5160446570972886,0.18107481743845377,0.45646444231701117,0.33480011504170265,0.23118279569892472,0.4008445258445259,0.36165311653116533,0.4117552334943639,0.14397542570273478,0.330489475650766,0.28276955602536996,0.2623474178403756,0.2212756159336864,0.2567579079206986,0.5014338223119971,0.31420679472002644,0.6329368334700574,0.41658508201566424,0.26801501962792285,,0.2846190102120974,0.5640640061692693,0.22452961672473867
211-000555,0.1613308223477715,0.3046255324913367,0.22833695514107885,0.3097263764262767,0.2990984231784022,0.25060386473429946,0.26868396511919057,0.3084567901234568,0.28953608615033516,0.268018208110374,0.29768462804315393,0.27499999999999997,0.19690402476780186,0.4197693760491381,0.2675407417599217,0.23922902494331066,0.1814086814086814,0.17424242424242423,0.4133963942113348,0.29648320369969855,,0.12092374064205051,0.3892375909423566
211-000556,0.4682013983592008,0.28631366662117697,0.22181486866539157,0.3733141169353404,0.30052155542351616,0.2598636303455581,0.4865839243498818,0.23966087675765094,0.297385721045984,0.4860810562992848,0.32592592592592595,0.3357524828113063,0.43744107744107746,0.4023708325797311,0.15186797552994735,0.36670692431561996,0.46327808982271224,0.3498940932416203,0.26276853037416414,0.46789736444908864,0.3027184664842893,,0.5454799297886824
211-000557,0.25004347070074767,0.23375810714312006,0.15385906308437355,0.3670450636394909,0.35163989249959965,0.3104072595598019,0.24019109000452285,0.5229567071206332,0.44907723855092274,0.22552700922266136,0.16012100349449745,0.4626889805158056,0.38211302254787444,0.26139119492245005,0.12815002700861927,0.19761827824955513,0.33137058627254706,0.1948529411764706,0.5160384331116039,0.3440516358862064,0.489742484903978,0.3121921921921922,
