class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,48,FT7_Alpha,bandpower,FT7,Alpha,,temporal_left,0.009441614783548434,0.029959956162724677,0.005639332942147172,0.02075577347707747,23
0,JOY,49,FT7_Beta,bandpower,FT7,Beta,,temporal_left,0.05640590072554147,0.13636536126980603,0.04744139418809717,0.11846851173508402,23
0,JOY,50,FC3_Alpha,bandpower,FC3,Alpha,,frontal_bilateral,0.0010153371165648394,0.0037568745524230586,1.8863756798237785e-05,0.00029777118387585243,23
0,JOY,51,FC3_Beta,bandpower,FC3,Beta,,frontal_bilateral,0.011513403187880196,0.03253016282974399,-0.003952210036795615,0.01583949152203444,23
0,JOY,52,F3_Alpha,bandpower,F3,Alpha,,frontal_bilateral,0.02611879379135481,0.0815055222387291,0.024268580927300564,0.08101066290127969,23
0,JOY,53,F3_Beta,bandpower,F3,Beta,,frontal_bilateral,0.05927115176793524,0.11923469584301988,0.053838803143344494,0.11697894555668266,23
0,JOY,54,Fp2_Alpha,bandpower,Fp2,Alpha,,frontal_bilateral,0.03742917791323079,0.1133256664320868,0.031526865482176133,0.09062922987987078,23
0,JOY,55,Fp2_Beta,bandpower,Fp2,Beta,,frontal_bilateral,0.12951758582165798,0.2522494550301698,0.08981270193961075,0.251756259263079,23
0,JOY,56,F7_Alpha,bandpower,F7,Alpha,,frontal_inferior_left,0.000991013335130881,0.004531982017599825,-0.00025285024705076385,0.0012879774541657255,23
0,JOY,57,F7_Beta,bandpower,F7,Beta,,frontal_inferior_left,0.01674054244222044,0.062135886058299984,0.012401700651099844,0.05853800526850078,23
0,JOY,58,Fp1_Alpha,bandpower,Fp1,Alpha,,frontal_bilateral,0.0022559075232939387,0.006477095110355279,0.000706108973707871,0.0028410490274904453,23
0,JOY,59,Fp1_Beta,bandpower,Fp1,Beta,,frontal_bilateral,0.10687949624466402,0.3218145706990671,0.09911711836048998,0.31738675455320553,23
0,JOY,60,PO5_Alpha,bandpower,PO5,Alpha,,other,0.014782856588357042,0.05154987563209901,0.013196639635465303,0.04927864352812823,23
0,JOY,61,PO5_Beta,bandpower,PO5,Beta,,other,0.031372045144412185,0.09502330023376084,0.023064181317484157,0.0745331527252917,23
0,JOY,62,PO3_Alpha,bandpower,PO3,Alpha,,occipital,0.005657190011830688,0.02414130884615227,0.0035629840111355247,0.016122303402081276,23
0,JOY,63,PO3_Beta,bandpower,PO3,Beta,,occipital,0.011051930210265763,0.02469478861820454,0.005806298008513553,0.023108913747037697,23
0,JOY,64,P1_Alpha,bandpower,P1,Alpha,,other,0.02701300495744611,0.07523715295131592,0.013790552335956503,0.06516443440303363,23
0,JOY,65,P1_Beta,bandpower,P1,Beta,,other,0.039078053372534984,0.084036442335183,0.030622913799820874,0.06801842632372619,23
0,JOY,66,POz_Alpha,bandpower,POz,Alpha,,occipital,0.002385490664684544,0.008779004745172177,-0.0004900222716523705,0.0016819239032046852,23
0,JOY,67,POz_Beta,bandpower,POz,Beta,,occipital,0.065640915156483,0.15331728019813554,0.025310554189729,0.12362273696609669,23
0,JOY,68,P2_Alpha,bandpower,P2,Alpha,,other,0.004893042185000379,0.01597162913195862,-0.0001423943225852228,0.011407608290294392,23
0,JOY,69,P2_Beta,bandpower,P2,Beta,,other,0.006305716245368095,0.02077789757115764,0.0004757780942293807,0.019747337071144334,23
0,JOY,70,PO4_Alpha,bandpower,PO4,Alpha,,occipital,0.0004835880487734533,0.0021427376723047445,0.00043088999520265266,0.0021484052921048906,23
0,JOY,71,PO4_Beta,bandpower,PO4,Beta,,occipital,0.03134046687561442,0.08455340341596637,0.025846013377004685,0.08271247207282019,23
0,JOY,72,CP2_Alpha,bandpower,CP2,Alpha,,other,0.020162881640671176,0.05368513297819876,0.01223465523365483,0.04189611293520441,23
0,JOY,73,CP2_Beta,bandpower,CP2,Beta,,other,0.07902662691849825,0.23295346935113495,0.07635886215994286,0.23275907670276333,23
0,JOY,74,P6_Alpha,bandpower,P6,Alpha,,temporal_right,0.030449480223986428,0.09059149048159662,0.022014410098761875,0.07131184675638036,23
0,JOY,75,P6_Beta,bandpower,P6,Beta,,temporal_right,0.04389312698211008,0.14525169843224384,0.04196450533948381,0.1431362602579066,23
0,JOY,76,PO6_Alpha,bandpower,PO6,Alpha,,other,0.007166535056804535,0.027040583137553354,0.006599331579628121,0.026378448472137158,23
0,JOY,77,PO6_Beta,bandpower,PO6,Beta,,other,0.03340644126863386,0.08402320477521441,0.031214087515912408,0.07900096713011111,23
0,JOY,78,CP6_Alpha,bandpower,CP6,Alpha,,temporal_right,0.011438478763665452,0.05355451963362546,-0.0030346813192124408,0.015486555862505694,23
0,JOY,79,CP6_Beta,bandpower,CP6,Beta,,temporal_right,0.03425615673087578,0.12011636277225918,0.003484228652424304,0.04703235574295693,23
0,JOY,80,C6_Alpha,bandpower,C6,Alpha,,temporal_right,0.0150880782322601,0.0399687978220195,0.009619331387726637,0.03339615045009667,23
0,JOY,81,C6_Beta,bandpower,C6,Beta,,temporal_right,0.05223405785218987,0.11368484006450108,0.03629887522596045,0.08312720717677306,23
0,JOY,82,PO8_Alpha,bandpower,PO8,Alpha,,occipital,0.005817422855642722,0.023059532419816155,0.0052665787285600145,0.020559560767941222,23
0,JOY,83,PO8_Beta,bandpower,PO8,Beta,,occipital,0.03293846330827578,0.07747114568706359,0.02746632029418419,0.06633151364483685,23
0,JOY,84,PO7_Alpha,bandpower,PO7,Alpha,,occipital,0.08031119870235959,0.17468744415563542,0.06602110567374617,0.15284761016691176,23
0,JOY,85,PO7_Beta,bandpower,PO7,Beta,,occipital,0.20112613382676645,0.4023858340354306,0.16563208094917414,0.3246230123344498,23
0,JOY,86,P5_Alpha,bandpower,P5,Alpha,,temporal_left,0.0006306265804114912,0.0026632051070824003,2.5124429393784908e-05,0.00024019542466746524,23
0,JOY,87,P5_Beta,bandpower,P5,Beta,,temporal_left,0.008127187168273603,0.029618348242545414,0.0032067409581124197,0.012730313006236586,23
0,JOY,88,CP5_Alpha,bandpower,CP5,Alpha,,temporal_left,0.003205349389270476,0.01422406125274415,0.002484201487248706,0.011712444330536335,23
0,JOY,89,CP5_Beta,bandpower,CP5,Beta,,temporal_left,0.018243814619806314,0.058563438249050324,0.011812030467605534,0.03594670857897637,23
0,JOY,90,CP1_Alpha,bandpower,CP1,Alpha,,other,0.0027086268052896457,0.00922703196772529,-0.0012523651902731291,0.007143854413809722,23
0,JOY,91,CP1_Beta,bandpower,CP1,Beta,,other,0.020222708041971876,0.06364799105685424,-0.0033544209649160016,0.028207809071971086,23
0,JOY,92,C1_Alpha,bandpower,C1,Alpha,,other,0.016830365964469064,0.05752429379268248,0.0011699870874830284,0.010754512529236602,23
0,JOY,93,C1_Beta,bandpower,C1,Beta,,other,0.007433783043160856,0.022560788740613485,0.0014893153386483359,0.010542568299304368,23
0,JOY,94,C2_Alpha,bandpower,C2,Alpha,,other,0.012632408777776803,0.049502532350605664,0.009488083557829813,0.04749087127219305,23
0,JOY,95,C2_Beta,bandpower,C2,Beta,,other,0.02577316906792345,0.05698019667899483,0.012887857625503579,0.049592592188437416,23
0,JOY,96,FC2_Alpha,bandpower,FC2,Alpha,,other,0.0060679545453479825,0.0245899882233948,-0.00038357042617254833,0.0042526037380834795,23
0,JOY,97,FC2_Beta,bandpower,FC2,Beta,,other,0.008241754478625796,0.025223403246113062,-0.0028205368279373313,0.016891312449370456,23
0,JOY,98,FC6_Alpha,bandpower,FC6,Alpha,,other,0.012760171625237696,0.03367724491771725,0.007004142048055152,0.023480576368951636,23
0,JOY,99,FC6_Beta,bandpower,FC6,Beta,,other,0.025669937034486844,0.06237552034580606,0.02127484103671653,0.057053400715145274,23
0,JOY,100,C5_Alpha,bandpower,C5,Alpha,,temporal_left,0.0020888261505820614,0.006965190650758297,0.0011357549574416478,0.005238388051991352,23
