class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
1,NEUTRO,Cz,Beta,parietal_midline,0.04021275263388452,0.0325341409204158,23
1,NEUTRO,FC4,Alpha,frontal_bilateral,0.08515975509370029,0.06847185122704695,23
1,NEUTRO,FC4,Beta,frontal_bilateral,0.22616434882016032,0.1759897290929791,23
1,NEUTRO,FT8,Alpha,temporal_right,0.03238898432255805,0.01592199203054813,23
1,NEUTRO,FT8,Beta,temporal_right,0.04789047149483492,0.03035230173888972,23
1,NEUTRO,TP7,Alpha,temporal_left,0.011749173669911206,0.007383431341876906,23
1,NEUTRO,TP7,Beta,temporal_left,0.062452549981330256,0.03568268921796733,23
1,NEUTRO,C3,Alpha,centro_parietal_left,0.0031689415663470628,-0.001332788450193557,23
1,NEUTRO,C3,Beta,centro_parietal_left,0.008342334331933696,0.006004867834427991,23
1,NEUTRO,FCz,Alpha,frontal_bilateral,0.03352683263847925,0.023580310251708345,23
1,NEUTRO,FCz,Beta,frontal_bilateral,0.04164894917950266,0.018912028792198332,23
1,NEUTRO,Fz,Alpha,frontal_bilateral,0.019756309579160646,0.010711177348304467,23
1,NEUTRO,Fz,Beta,frontal_bilateral,0.014968073008178652,-0.001314035589214925,23
1,NEUTRO,F4,Alpha,frontal_bilateral,0.011467307285409055,0.006549831799140582,23
1,NEUTRO,F4,Beta,frontal_bilateral,0.033828797263560334,0.01877721059097781,23
1,NEUTRO,F8,Alpha,other,0.015010681892939826,0.0040478193139453994,23
1,NEUTRO,F8,Beta,other,0.029372768938585595,0.010368106028369965,23
1,NEUTRO,T7,Alpha,temporal_left,0.003993160652124002,-0.0009860540201850282,23
1,NEUTRO,T7,Beta,temporal_left,0.09280571016176958,0.0598216374977095,23
1,NEUTRO,FT7,Alpha,temporal_left,0.017508090888632758,0.014265917052881296,23
1,NEUTRO,FT7,Beta,temporal_left,0.1123373658612333,0.08794268949886948,23
1,NEUTRO,FC3,Alpha,frontal_bilateral,0.04231119496295051,0.027533355130090253,23
1,NEUTRO,FC3,Beta,frontal_bilateral,0.04726941174205936,0.033431566109562987,23
1,NEUTRO,F3,Alpha,frontal_bilateral,0.030093710209503896,0.022931901664884853,23
1,NEUTRO,F3,Beta,frontal_bilateral,0.031134653764003706,0.025114677548479764,23
1,NEUTRO,Fp2,Alpha,frontal_bilateral,0.012379805827707502,0.007563050607499615,23
1,NEUTRO,Fp2,Beta,frontal_bilateral,0.09090553638755758,0.0726099978139509,23
1,NEUTRO,F7,Alpha,frontal_inferior_left,0.014874726621489243,-0.0011618952908853844,23
1,NEUTRO,F7,Beta,frontal_inferior_left,0.053026361825273614,0.04140658588246376,23
1,NEUTRO,Fp1,Alpha,frontal_bilateral,0.029786426704349552,0.014296495687143449,23
1,NEUTRO,Fp1,Beta,frontal_bilateral,0.08546010574737928,0.062495178982470055,23
1,NEUTRO,PO5,Alpha,other,0.02000199416333063,0.0155482144334674,23
1,NEUTRO,PO5,Beta,other,0.03704079180445504,0.02455319571950111,23
1,NEUTRO,PO3,Alpha,occipital,0.002128870312638137,0.0010997480872999667,23
1,NEUTRO,PO3,Beta,occipital,0.009690446720496513,-0.0019420439582137003,23
1,NEUTRO,P1,Alpha,other,0.024648743791137993,0.0007022276965919762,23
1,NEUTRO,P1,Beta,other,0.06630640781548822,0.03498688051552873,23
1,NEUTRO,POz,Alpha,occipital,0.011290639497755613,3.224560894618577e-05,23
1,NEUTRO,POz,Beta,occipital,0.011509830541178987,0.0072952674885466175,23
1,NEUTRO,P2,Alpha,other,0.0035259544916586643,-0.00076834278692605,23
1,NEUTRO,P2,Beta,other,0.005229709686359588,0.0009560503866699664,23
1,NEUTRO,PO4,Alpha,occipital,0.0046323452780707205,0.0011139101764432529,23
1,NEUTRO,PO4,Beta,occipital,0.03922787264778493,0.028180688913411734,23
1,NEUTRO,CP2,Alpha,other,0.026307701980716813,0.012360925176887338,23
1,NEUTRO,CP2,Beta,other,0.06477357414854476,0.025229751274202832,23
1,NEUTRO,P6,Alpha,temporal_right,0.011132776470614903,0.0016643902890090367,23
1,NEUTRO,P6,Beta,temporal_right,0.007395731002585784,0.00457900250712324,23
1,NEUTRO,PO6,Alpha,other,0.004545213197218667,-0.00036123028520971683,23
1,NEUTRO,PO6,Beta,other,0.0228026444439049,0.012891541030195797,23
1,NEUTRO,CP6,Alpha,temporal_right,0.0037356759804899027,1.8312019624232042e-05,23
1,NEUTRO,CP6,Beta,temporal_right,0.007754865435603597,0.0039847614665144086,23
1,NEUTRO,C6,Alpha,temporal_right,0.007195700180081698,0.005664052433020558,23
1,NEUTRO,C6,Beta,temporal_right,0.0353051920253708,0.005309794274813927,23
1,NEUTRO,PO8,Alpha,occipital,0.029202843770566908,0.022558183629846074,23
1,NEUTRO,PO8,Beta,occipital,0.013352652829383064,0.006693492816101158,23
1,NEUTRO,PO7,Alpha,occipital,0.012783566643475663,0.00732985462452364,23
1,NEUTRO,PO7,Beta,occipital,0.06316585623616952,0.032714552202767574,23
1,NEUTRO,P5,Alpha,temporal_left,0.006651759615222485,0.005627415731831988,23
1,NEUTRO,P5,Beta,temporal_left,0.021906544217929903,0.013395262751029363,23
1,NEUTRO,CP5,Alpha,temporal_left,0.013002233216663765,0.0003780013502175189,23
